Electoral wards and divisions Code,Electoral wards and divisions,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E05009380,Lea Bridge (Hackney),1,"1. Managers, directors and senior officials",971
E05009380,Lea Bridge (Hackney),2,2. Professional occupations,2095
E05009380,Lea Bridge (Hackney),3,3. Associate professional and technical occupations,1709
E05009380,Lea Bridge (Hackney),4,4. Administrative and secretarial occupations,475
E05009380,Lea Bridge (Hackney),5,5. Skilled trades occupations,354
E05009380,Lea Bridge (Hackney),6,"6. Caring, leisure and other service occupations",522
E05009380,Lea Bridge (Hackney),7,7. Sales and customer service occupations,370
E05009380,Lea Bridge (Hackney),8,"8. Process, plant and machine operatives",263
E05009380,Lea Bridge (Hackney),9,9. Elementary occupations,565
E05009381,London Fields,-8,Does not apply,5686
E05009381,London Fields,1,"1. Managers, directors and senior officials",1133
E05009381,London Fields,2,2. Professional occupations,2173
E05009381,London Fields,3,3. Associate professional and technical occupations,1532
E05009381,London Fields,4,4. Administrative and secretarial occupations,379
E05009381,London Fields,5,5. Skilled trades occupations,314
E05009381,London Fields,6,"6. Caring, leisure and other service occupations",471
E05009381,London Fields,7,7. Sales and customer service occupations,321
E05009381,London Fields,8,"8. Process, plant and machine operatives",200
E05009381,London Fields,9,9. Elementary occupations,472
E05009382,Shacklewell,-8,Does not apply,4213
E05009382,Shacklewell,1,"1. Managers, directors and senior officials",654
E05009382,Shacklewell,2,2. Professional occupations,1383
E05009382,Shacklewell,3,3. Associate professional and technical occupations,1071
E05009382,Shacklewell,4,4. Administrative and secretarial occupations,269
E05009382,Shacklewell,5,5. Skilled trades occupations,259
E05009382,Shacklewell,6,"6. Caring, leisure and other service occupations",373
E05009382,Shacklewell,7,7. Sales and customer service occupations,336
E05009382,Shacklewell,8,"8. Process, plant and machine operatives",158
E05009382,Shacklewell,9,9. Elementary occupations,410
E05009383,Springfield,-8,Does not apply,9309
E05009383,Springfield,1,"1. Managers, directors and senior officials",772
E05009383,Springfield,2,2. Professional occupations,1397
E05009383,Springfield,3,3. Associate professional and technical occupations,723
E05009383,Springfield,4,4. Administrative and secretarial occupations,952
E05009383,Springfield,5,5. Skilled trades occupations,323
E05009383,Springfield,6,"6. Caring, leisure and other service occupations",591
E05009383,Springfield,7,7. Sales and customer service occupations,386
E05009383,Springfield,8,"8. Process, plant and machine operatives",253
E05009383,Springfield,9,9. Elementary occupations,613
E05009384,Stamford Hill West,-8,Does not apply,6158
E05009384,Stamford Hill West,1,"1. Managers, directors and senior officials",550
E05009384,Stamford Hill West,2,2. Professional occupations,1115
E05009384,Stamford Hill West,3,3. Associate professional and technical occupations,551
E05009384,Stamford Hill West,4,4. Administrative and secretarial occupations,586
E05009384,Stamford Hill West,5,5. Skilled trades occupations,210
E05009384,Stamford Hill West,6,"6. Caring, leisure and other service occupations",418
E05009384,Stamford Hill West,7,7. Sales and customer service occupations,223
E05009384,Stamford Hill West,8,"8. Process, plant and machine operatives",154
E05009384,Stamford Hill West,9,9. Elementary occupations,382
E05009385,Stoke Newington,-8,Does not apply,5882
E05009385,Stoke Newington,1,"1. Managers, directors and senior officials",1144
E05009385,Stoke Newington,2,2. Professional occupations,2427
E05009385,Stoke Newington,3,3. Associate professional and technical occupations,1727
E05009385,Stoke Newington,4,4. Administrative and secretarial occupations,468
E05009385,Stoke Newington,5,5. Skilled trades occupations,366
E05009385,Stoke Newington,6,"6. Caring, leisure and other service occupations",432
E05009385,Stoke Newington,7,7. Sales and customer service occupations,342
E05009385,Stoke Newington,8,"8. Process, plant and machine operatives",192
E05009385,Stoke Newington,9,9. Elementary occupations,401
E05009386,Victoria (Hackney),-8,Does not apply,5678
E05009386,Victoria (Hackney),1,"1. Managers, directors and senior officials",938
E05009386,Victoria (Hackney),2,2. Professional occupations,1865
E05009386,Victoria (Hackney),3,3. Associate professional and technical occupations,1470
E05009386,Victoria (Hackney),4,4. Administrative and secretarial occupations,429
E05009386,Victoria (Hackney),5,5. Skilled trades occupations,284
E05009386,Victoria (Hackney),6,"6. Caring, leisure and other service occupations",467
E05009386,Victoria (Hackney),7,7. Sales and customer service occupations,313
E05009386,Victoria (Hackney),8,"8. Process, plant and machine operatives",227
E05009386,Victoria (Hackney),9,9. Elementary occupations,485
E05009387,Woodberry Down,-8,Does not apply,6519
E05009387,Woodberry Down,1,"1. Managers, directors and senior officials",704
E05009387,Woodberry Down,2,2. Professional occupations,1725
E05009387,Woodberry Down,3,3. Associate professional and technical occupations,988
E05009387,Woodberry Down,4,4. Administrative and secretarial occupations,401
E05009387,Woodberry Down,5,5. Skilled trades occupations,287
E05009387,Woodberry Down,6,"6. Caring, leisure and other service occupations",458
E05009387,Woodberry Down,7,7. Sales and customer service occupations,288
E05009387,Woodberry Down,8,"8. Process, plant and machine operatives",223
E05009387,Woodberry Down,9,9. Elementary occupations,521
E05009388,Abingdon,-8,Does not apply,3971
E05009388,Abingdon,1,"1. Managers, directors and senior officials",1290
E05009388,Abingdon,2,2. Professional occupations,1195
E05009388,Abingdon,3,3. Associate professional and technical occupations,657
E05009388,Abingdon,4,4. Administrative and secretarial occupations,229
