Electoral wards and divisions Code,Electoral wards and divisions,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E05013674,Brimsdown,9,9. Elementary occupations,892
E05013675,Bullsmoor,-8,Does not apply,6943
E05013675,Bullsmoor,1,"1. Managers, directors and senior officials",462
E05013675,Bullsmoor,2,2. Professional occupations,629
E05013675,Bullsmoor,3,3. Associate professional and technical occupations,479
E05013675,Bullsmoor,4,4. Administrative and secretarial occupations,431
E05013675,Bullsmoor,5,5. Skilled trades occupations,512
E05013675,Bullsmoor,6,"6. Caring, leisure and other service occupations",580
E05013675,Bullsmoor,7,7. Sales and customer service occupations,453
E05013675,Bullsmoor,8,"8. Process, plant and machine operatives",401
E05013675,Bullsmoor,9,9. Elementary occupations,566
E05013676,Bush Hill Park,-8,Does not apply,6857
E05013676,Bush Hill Park,1,"1. Managers, directors and senior officials",913
E05013676,Bush Hill Park,2,2. Professional occupations,1446
E05013676,Bush Hill Park,3,3. Associate professional and technical occupations,844
E05013676,Bush Hill Park,4,4. Administrative and secretarial occupations,629
E05013676,Bush Hill Park,5,5. Skilled trades occupations,517
E05013676,Bush Hill Park,6,"6. Caring, leisure and other service occupations",467
E05013676,Bush Hill Park,7,7. Sales and customer service occupations,353
E05013676,Bush Hill Park,8,"8. Process, plant and machine operatives",282
E05013676,Bush Hill Park,9,9. Elementary occupations,400
E05013677,Carterhatch,-8,Does not apply,7770
E05013677,Carterhatch,1,"1. Managers, directors and senior officials",435
E05013677,Carterhatch,2,2. Professional occupations,630
E05013677,Carterhatch,3,3. Associate professional and technical occupations,472
E05013677,Carterhatch,4,4. Administrative and secretarial occupations,414
E05013677,Carterhatch,5,5. Skilled trades occupations,505
E05013677,Carterhatch,6,"6. Caring, leisure and other service occupations",594
E05013677,Carterhatch,7,7. Sales and customer service occupations,530
E05013677,Carterhatch,8,"8. Process, plant and machine operatives",353
E05013677,Carterhatch,9,9. Elementary occupations,664
E05013678,Cockfosters,-8,Does not apply,5820
E05013678,Cockfosters,1,"1. Managers, directors and senior officials",1067
E05013678,Cockfosters,2,2. Professional occupations,1237
E05013678,Cockfosters,3,3. Associate professional and technical occupations,672
E05013678,Cockfosters,4,4. Administrative and secretarial occupations,500
E05013678,Cockfosters,5,5. Skilled trades occupations,314
E05013678,Cockfosters,6,"6. Caring, leisure and other service occupations",318
E05013678,Cockfosters,7,7. Sales and customer service occupations,254
E05013678,Cockfosters,8,"8. Process, plant and machine operatives",175
E05013678,Cockfosters,9,9. Elementary occupations,249
E05013679,Edmonton Green,-8,Does not apply,10723
E05013679,Edmonton Green,1,"1. Managers, directors and senior officials",470
E05013679,Edmonton Green,2,2. Professional occupations,923
E05013679,Edmonton Green,3,3. Associate professional and technical occupations,607
E05013679,Edmonton Green,4,4. Administrative and secretarial occupations,498
E05013679,Edmonton Green,5,5. Skilled trades occupations,702
E05013679,Edmonton Green,6,"6. Caring, leisure and other service occupations",867
E05013679,Edmonton Green,7,7. Sales and customer service occupations,644
E05013679,Edmonton Green,8,"8. Process, plant and machine operatives",596
E05013679,Edmonton Green,9,9. Elementary occupations,1104
E05013680,Enfield Lock,-8,Does not apply,10585
E05013680,Enfield Lock,1,"1. Managers, directors and senior officials",690
E05013680,Enfield Lock,2,2. Professional occupations,1224
E05013680,Enfield Lock,3,3. Associate professional and technical occupations,797
E05013680,Enfield Lock,4,4. Administrative and secretarial occupations,663
E05013680,Enfield Lock,5,5. Skilled trades occupations,743
E05013680,Enfield Lock,6,"6. Caring, leisure and other service occupations",836
E05013680,Enfield Lock,7,7. Sales and customer service occupations,620
E05013680,Enfield Lock,8,"8. Process, plant and machine operatives",612
E05013680,Enfield Lock,9,9. Elementary occupations,1048
E05013681,Grange Park,-8,Does not apply,4913
E05013681,Grange Park,1,"1. Managers, directors and senior officials",943
E05013681,Grange Park,2,2. Professional occupations,1225
E05013681,Grange Park,3,3. Associate professional and technical occupations,647
E05013681,Grange Park,4,4. Administrative and secretarial occupations,455
E05013681,Grange Park,5,5. Skilled trades occupations,308
E05013681,Grange Park,6,"6. Caring, leisure and other service occupations",265
E05013681,Grange Park,7,7. Sales and customer service occupations,212
E05013681,Grange Park,8,"8. Process, plant and machine operatives",157
E05013681,Grange Park,9,9. Elementary occupations,236
E05013682,Haselbury,-8,Does not apply,10664
E05013682,Haselbury,1,"1. Managers, directors and senior officials",623
E05013682,Haselbury,2,2. Professional occupations,1097
E05013682,Haselbury,3,3. Associate professional and technical occupations,719
E05013682,Haselbury,4,4. Administrative and secretarial occupations,758
E05013682,Haselbury,5,5. Skilled trades occupations,964
E05013682,Haselbury,6,"6. Caring, leisure and other service occupations",841
E05013682,Haselbury,7,7. Sales and customer service occupations,634
E05013682,Haselbury,8,"8. Process, plant and machine operatives",690
E05013682,Haselbury,9,9. Elementary occupations,1145
E05013683,Highfield (Enfield),-8,Does not apply,5121
E05013683,Highfield (Enfield),1,"1. Managers, directors and senior officials",541
E05013683,Highfield (Enfield),2,2. Professional occupations,831
E05013683,Highfield (Enfield),3,3. Associate professional and technical occupations,558
E05013683,Highfield (Enfield),4,4. Administrative and secretarial occupations,404
E05013683,Highfield (Enfield),5,5. Skilled trades occupations,454
E05013683,Highfield (Enfield),6,"6. Caring, leisure and other service occupations",351
E05013683,Highfield (Enfield),7,7. Sales and customer service occupations,319
E05013683,Highfield (Enfield),8,"8. Process, plant and machine operatives",276
E05013683,Highfield (Enfield),9,9. Elementary occupations,392
E05013684,Jubilee (Enfield),-8,Does not apply,10056
E05013684,Jubilee (Enfield),1,"1. Managers, directors and senior officials",617
E05013684,Jubilee (Enfield),2,2. Professional occupations,950
E05013684,Jubilee (Enfield),3,3. Associate professional and technical occupations,606
E05013684,Jubilee (Enfield),4,4. Administrative and secretarial occupations,627
E05013684,Jubilee (Enfield),5,5. Skilled trades occupations,749
E05013684,Jubilee (Enfield),6,"6. Caring, leisure and other service occupations",751
E05013684,Jubilee (Enfield),7,7. Sales and customer service occupations,605
E05013684,Jubilee (Enfield),8,"8. Process, plant and machine operatives",598
E05013684,Jubilee (Enfield),9,9. Elementary occupations,987
E05013685,Lower Edmonton,-8,Does not apply,9994
E05013685,Lower Edmonton,1,"1. Managers, directors and senior officials",464
E05013685,Lower Edmonton,2,2. Professional occupations,890
E05013685,Lower Edmonton,3,3. Associate professional and technical occupations,632
E05013685,Lower Edmonton,4,4. Administrative and secretarial occupations,566
E05013685,Lower Edmonton,5,5. Skilled trades occupations,693
E05013685,Lower Edmonton,6,"6. Caring, leisure and other service occupations",889
E05013685,Lower Edmonton,7,7. Sales and customer service occupations,640
E05013685,Lower Edmonton,8,"8. Process, plant and machine operatives",598
E05013685,Lower Edmonton,9,9. Elementary occupations,1190
E05013686,New Southgate,-8,Does not apply,5708
E05013686,New Southgate,1,"1. Managers, directors and senior officials",741
E05013686,New Southgate,2,2. Professional occupations,1407
E05013686,New Southgate,3,3. Associate professional and technical occupations,940
E05013686,New Southgate,4,4. Administrative and secretarial occupations,544
E05013686,New Southgate,5,5. Skilled trades occupations,652
E05013686,New Southgate,6,"6. Caring, leisure and other service occupations",479
E05013686,New Southgate,7,7. Sales and customer service occupations,377
E05013686,New Southgate,8,"8. Process, plant and machine operatives",315
E05013686,New Southgate,9,9. Elementary occupations,745
E05013687,Oakwood (Enfield),-8,Does not apply,4619
E05013687,Oakwood (Enfield),1,"1. Managers, directors and senior officials",718
E05013687,Oakwood (Enfield),2,2. Professional occupations,1164
E05013687,Oakwood (Enfield),3,3. Associate professional and technical occupations,580
E05013687,Oakwood (Enfield),4,4. Administrative and secretarial occupations,475
E05013687,Oakwood (Enfield),5,5. Skilled trades occupations,287
E05013687,Oakwood (Enfield),6,"6. Caring, leisure and other service occupations",307
E05013687,Oakwood (Enfield),7,7. Sales and customer service occupations,203
E05013687,Oakwood (Enfield),8,"8. Process, plant and machine operatives",167
E05013687,Oakwood (Enfield),9,9. Elementary occupations,230
E05013688,Palmers Green,-8,Does not apply,5406
E05013688,Palmers Green,1,"1. Managers, directors and senior officials",862
E05013688,Palmers Green,2,2. Professional occupations,1442
E05013688,Palmers Green,3,3. Associate professional and technical occupations,748
E05013688,Palmers Green,4,4. Administrative and secretarial occupations,454
E05013688,Palmers Green,5,5. Skilled trades occupations,627
E05013688,Palmers Green,6,"6. Caring, leisure and other service occupations",388
E05013688,Palmers Green,7,7. Sales and customer service occupations,300
E05013688,Palmers Green,8,"8. Process, plant and machine operatives",255
E05013688,Palmers Green,9,9. Elementary occupations,533
E05013689,Ponders End,-8,Does not apply,8478
E05013689,Ponders End,1,"1. Managers, directors and senior officials",418
E05013689,Ponders End,2,2. Professional occupations,728
E05013689,Ponders End,3,3. Associate professional and technical occupations,515
E05013689,Ponders End,4,4. Administrative and secretarial occupations,413
E05013689,Ponders End,5,5. Skilled trades occupations,515
E05013689,Ponders End,6,"6. Caring, leisure and other service occupations",760
E05013689,Ponders End,7,7. Sales and customer service occupations,519
E05013689,Ponders End,8,"8. Process, plant and machine operatives",523
E05013689,Ponders End,9,9. Elementary occupations,814
E05013690,Ridgeway (Enfield),-8,Does not apply,6547
E05013690,Ridgeway (Enfield),1,"1. Managers, directors and senior officials",1031
E05013690,Ridgeway (Enfield),2,2. Professional occupations,1616
E05013690,Ridgeway (Enfield),3,3. Associate professional and technical occupations,891
E05013690,Ridgeway (Enfield),4,4. Administrative and secretarial occupations,680
E05013690,Ridgeway (Enfield),5,5. Skilled trades occupations,471
E05013690,Ridgeway (Enfield),6,"6. Caring, leisure and other service occupations",445
E05013690,Ridgeway (Enfield),7,7. Sales and customer service occupations,311
E05013690,Ridgeway (Enfield),8,"8. Process, plant and machine operatives",213
E05013690,Ridgeway (Enfield),9,9. Elementary occupations,330
E05013691,Southbury,-8,Does not apply,8624
E05013691,Southbury,1,"1. Managers, directors and senior officials",844
E05013691,Southbury,2,2. Professional occupations,1591
E05013691,Southbury,3,3. Associate professional and technical occupations,981
E05013691,Southbury,4,4. Administrative and secretarial occupations,721
E05013691,Southbury,5,5. Skilled trades occupations,742
E05013691,Southbury,6,"6. Caring, leisure and other service occupations",750
E05013691,Southbury,7,7. Sales and customer service occupations,509
E05013691,Southbury,8,"8. Process, plant and machine operatives",430
E05013691,Southbury,9,9. Elementary occupations,719
E05013692,Southgate (Enfield),-8,Does not apply,7658
E05013692,Southgate (Enfield),1,"1. Managers, directors and senior officials",1115
E05013692,Southgate (Enfield),2,2. Professional occupations,1828
E05013692,Southgate (Enfield),3,3. Associate professional and technical occupations,970
E05013692,Southgate (Enfield),4,4. Administrative and secretarial occupations,676
E05013692,Southgate (Enfield),5,5. Skilled trades occupations,650
E05013692,Southgate (Enfield),6,"6. Caring, leisure and other service occupations",477
E05013692,Southgate (Enfield),7,7. Sales and customer service occupations,313
E05013692,Southgate (Enfield),8,"8. Process, plant and machine operatives",284
E05013692,Southgate (Enfield),9,9. Elementary occupations,543
E05013693,Town (Enfield),-8,Does not apply,6852
E05013693,Town (Enfield),1,"1. Managers, directors and senior officials",953
E05013693,Town (Enfield),2,2. Professional occupations,1748
E05013693,Town (Enfield),3,3. Associate professional and technical occupations,1028
E05013693,Town (Enfield),4,4. Administrative and secretarial occupations,712
E05013693,Town (Enfield),5,5. Skilled trades occupations,592
E05013693,Town (Enfield),6,"6. Caring, leisure and other service occupations",497
E05013693,Town (Enfield),7,7. Sales and customer service occupations,369
E05013693,Town (Enfield),8,"8. Process, plant and machine operatives",305
E05013693,Town (Enfield),9,9. Elementary occupations,461
E05013694,Upper Edmonton,-8,Does not apply,10167
E05013694,Upper Edmonton,1,"1. Managers, directors and senior officials",494
E05013694,Upper Edmonton,2,2. Professional occupations,1062
E05013694,Upper Edmonton,3,3. Associate professional and technical occupations,585
E05013694,Upper Edmonton,4,4. Administrative and secretarial occupations,590
E05013694,Upper Edmonton,5,5. Skilled trades occupations,729
E05013694,Upper Edmonton,6,"6. Caring, leisure and other service occupations",780
E05013694,Upper Edmonton,7,7. Sales and customer service occupations,623
E05013694,Upper Edmonton,8,"8. Process, plant and machine operatives",643
E05013694,Upper Edmonton,9,9. Elementary occupations,1050
E05013695,Whitewebbs,-8,Does not apply,7616
E05013695,Whitewebbs,1,"1. Managers, directors and senior officials",878
E05013695,Whitewebbs,2,2. Professional occupations,1437
E05013695,Whitewebbs,3,3. Associate professional and technical occupations,867
E05013695,Whitewebbs,4,4. Administrative and secretarial occupations,687
E05013695,Whitewebbs,5,5. Skilled trades occupations,579
E05013695,Whitewebbs,6,"6. Caring, leisure and other service occupations",528
E05013695,Whitewebbs,7,7. Sales and customer service occupations,415
E05013695,Whitewebbs,8,"8. Process, plant and machine operatives",318
E05013695,Whitewebbs,9,9. Elementary occupations,518
E05013696,Winchmore Hill,-8,Does not apply,5092
E05013696,Winchmore Hill,1,"1. Managers, directors and senior officials",1142
E05013696,Winchmore Hill,2,2. Professional occupations,1422
E05013696,Winchmore Hill,3,3. Associate professional and technical occupations,825
E05013696,Winchmore Hill,4,4. Administrative and secretarial occupations,529
E05013696,Winchmore Hill,5,5. Skilled trades occupations,373
E05013696,Winchmore Hill,6,"6. Caring, leisure and other service occupations",289
E05013696,Winchmore Hill,7,7. Sales and customer service occupations,257
E05013696,Winchmore Hill,8,"8. Process, plant and machine operatives",179
E05013696,Winchmore Hill,9,9. Elementary occupations,289
E05013697,Arsenal,-8,Does not apply,5441
E05013697,Arsenal,1,"1. Managers, directors and senior officials",1281
E05013697,Arsenal,2,2. Professional occupations,2928
E05013697,Arsenal,3,3. Associate professional and technical occupations,1595
E05013697,Arsenal,4,4. Administrative and secretarial occupations,452
E05013697,Arsenal,5,5. Skilled trades occupations,237
E05013697,Arsenal,6,"6. Caring, leisure and other service occupations",354
E05013697,Arsenal,7,7. Sales and customer service occupations,280
E05013697,Arsenal,8,"8. Process, plant and machine operatives",179
E05013697,Arsenal,9,9. Elementary occupations,379
E05013698,Barnsbury,-8,Does not apply,5086
E05013698,Barnsbury,1,"1. Managers, directors and senior officials",1173
E05013698,Barnsbury,2,2. Professional occupations,2557
E05013698,Barnsbury,3,3. Associate professional and technical occupations,1237
E05013698,Barnsbury,4,4. Administrative and secretarial occupations,400
E05013698,Barnsbury,5,5. Skilled trades occupations,212
E05013698,Barnsbury,6,"6. Caring, leisure and other service occupations",291
E05013698,Barnsbury,7,7. Sales and customer service occupations,293
E05013698,Barnsbury,8,"8. Process, plant and machine operatives",165
E05013698,Barnsbury,9,9. Elementary occupations,295
E05013699,Bunhill,-8,Does not apply,5519
E05013699,Bunhill,1,"1. Managers, directors and senior officials",892
E05013699,Bunhill,2,2. Professional occupations,2049
E05013699,Bunhill,3,3. Associate professional and technical occupations,1017
E05013699,Bunhill,4,4. Administrative and secretarial occupations,347
E05013699,Bunhill,5,5. Skilled trades occupations,227
E05013699,Bunhill,6,"6. Caring, leisure and other service occupations",327
E05013699,Bunhill,7,7. Sales and customer service occupations,264
E05013699,Bunhill,8,"8. Process, plant and machine operatives",179
E05013699,Bunhill,9,9. Elementary occupations,344
E05013700,Caledonian,-8,Does not apply,5939
E05013700,Caledonian,1,"1. Managers, directors and senior officials",691
E05013700,Caledonian,2,2. Professional occupations,1776
E05013700,Caledonian,3,3. Associate professional and technical occupations,1014
E05013700,Caledonian,4,4. Administrative and secretarial occupations,411
E05013700,Caledonian,5,5. Skilled trades occupations,287
E05013700,Caledonian,6,"6. Caring, leisure and other service occupations",438
E05013700,Caledonian,7,7. Sales and customer service occupations,344
E05013700,Caledonian,8,"8. Process, plant and machine operatives",246
E05013700,Caledonian,9,9. Elementary occupations,433
E05013701,Canonbury,-8,Does not apply,5989
E05013701,Canonbury,1,"1. Managers, directors and senior officials",1111
E05013701,Canonbury,2,2. Professional occupations,2313
E05013701,Canonbury,3,3. Associate professional and technical occupations,1309
E05013701,Canonbury,4,4. Administrative and secretarial occupations,412
E05013701,Canonbury,5,5. Skilled trades occupations,308
E05013701,Canonbury,6,"6. Caring, leisure and other service occupations",392
E05013701,Canonbury,7,7. Sales and customer service occupations,309
E05013701,Canonbury,8,"8. Process, plant and machine operatives",169
E05013701,Canonbury,9,9. Elementary occupations,353
E05013702,Clerkenwell,-8,Does not apply,5557
E05013702,Clerkenwell,1,"1. Managers, directors and senior officials",908
E05013702,Clerkenwell,2,2. Professional occupations,1905
E05013702,Clerkenwell,3,3. Associate professional and technical occupations,1019
E05013702,Clerkenwell,4,4. Administrative and secretarial occupations,359
E05013702,Clerkenwell,5,5. Skilled trades occupations,214
E05013702,Clerkenwell,6,"6. Caring, leisure and other service occupations",262
E05013702,Clerkenwell,7,7. Sales and customer service occupations,257
E05013702,Clerkenwell,8,"8. Process, plant and machine operatives",182
E05013702,Clerkenwell,9,9. Elementary occupations,290
E05013703,Finsbury Park,-8,Does not apply,7274
E05013703,Finsbury Park,1,"1. Managers, directors and senior officials",862
E05013703,Finsbury Park,2,2. Professional occupations,2254
E05013703,Finsbury Park,3,3. Associate professional and technical occupations,1429
E05013703,Finsbury Park,4,4. Administrative and secretarial occupations,472
E05013703,Finsbury Park,5,5. Skilled trades occupations,396
E05013703,Finsbury Park,6,"6. Caring, leisure and other service occupations",561
E05013703,Finsbury Park,7,7. Sales and customer service occupations,426
E05013703,Finsbury Park,8,"8. Process, plant and machine operatives",289
E05013703,Finsbury Park,9,9. Elementary occupations,680
E05013704,Highbury,-8,Does not apply,5853
E05013704,Highbury,1,"1. Managers, directors and senior officials",1429
E05013704,Highbury,2,2. Professional occupations,2952
E05013704,Highbury,3,3. Associate professional and technical occupations,1650
E05013704,Highbury,4,4. Administrative and secretarial occupations,459
E05013704,Highbury,5,5. Skilled trades occupations,259
E05013704,Highbury,6,"6. Caring, leisure and other service occupations",368
E05013704,Highbury,7,7. Sales and customer service occupations,370
E05013704,Highbury,8,"8. Process, plant and machine operatives",175
E05013704,Highbury,9,9. Elementary occupations,294
E05013705,Hillrise,-8,Does not apply,7475
E05013705,Hillrise,1,"1. Managers, directors and senior officials",1025
E05013705,Hillrise,2,2. Professional occupations,2302
E05013705,Hillrise,3,3. Associate professional and technical occupations,1435
E05013705,Hillrise,4,4. Administrative and secretarial occupations,518
E05013705,Hillrise,5,5. Skilled trades occupations,407
E05013705,Hillrise,6,"6. Caring, leisure and other service occupations",600
E05013705,Hillrise,7,7. Sales and customer service occupations,412
E05013705,Hillrise,8,"8. Process, plant and machine operatives",233
E05013705,Hillrise,9,9. Elementary occupations,563
E05013706,Holloway,-8,Does not apply,6075
E05013706,Holloway,1,"1. Managers, directors and senior officials",821
E05013706,Holloway,2,2. Professional occupations,2159
E05013706,Holloway,3,3. Associate professional and technical occupations,1338
E05013706,Holloway,4,4. Administrative and secretarial occupations,475
E05013706,Holloway,5,5. Skilled trades occupations,328
E05013706,Holloway,6,"6. Caring, leisure and other service occupations",460
E05013706,Holloway,7,7. Sales and customer service occupations,355
E05013706,Holloway,8,"8. Process, plant and machine operatives",202
E05013706,Holloway,9,9. Elementary occupations,524
E05013707,Junction,-8,Does not apply,5953
E05013707,Junction,1,"1. Managers, directors and senior officials",933
E05013707,Junction,2,2. Professional occupations,2303
E05013707,Junction,3,3. Associate professional and technical occupations,1419
E05013707,Junction,4,4. Administrative and secretarial occupations,523
E05013707,Junction,5,5. Skilled trades occupations,344
E05013707,Junction,6,"6. Caring, leisure and other service occupations",441
E05013707,Junction,7,7. Sales and customer service occupations,325
E05013707,Junction,8,"8. Process, plant and machine operatives",196
E05013707,Junction,9,9. Elementary occupations,417
E05013708,Laycock,-8,Does not apply,6315
E05013708,Laycock,1,"1. Managers, directors and senior officials",885
E05013708,Laycock,2,2. Professional occupations,1964
E05013708,Laycock,3,3. Associate professional and technical occupations,1159
E05013708,Laycock,4,4. Administrative and secretarial occupations,423
E05013708,Laycock,5,5. Skilled trades occupations,274
E05013708,Laycock,6,"6. Caring, leisure and other service occupations",385
E05013708,Laycock,7,7. Sales and customer service occupations,348
E05013708,Laycock,8,"8. Process, plant and machine operatives",261
E05013708,Laycock,9,9. Elementary occupations,427
E05013709,Mildmay,-8,Does not apply,6516
E05013709,Mildmay,1,"1. Managers, directors and senior officials",1203
E05013709,Mildmay,2,2. Professional occupations,2405
E05013709,Mildmay,3,3. Associate professional and technical occupations,1721
E05013709,Mildmay,4,4. Administrative and secretarial occupations,458
E05013709,Mildmay,5,5. Skilled trades occupations,310
E05013709,Mildmay,6,"6. Caring, leisure and other service occupations",456
E05013709,Mildmay,7,7. Sales and customer service occupations,365
E05013709,Mildmay,8,"8. Process, plant and machine operatives",245
E05013709,Mildmay,9,9. Elementary occupations,587
E05013710,St Mary's & St James' (Islington),-8,Does not apply,5229
E05013710,St Mary's & St James' (Islington),1,"1. Managers, directors and senior officials",1206
E05013710,St Mary's & St James' (Islington),2,2. Professional occupations,2450
E05013710,St Mary's & St James' (Islington),3,3. Associate professional and technical occupations,1326
E05013710,St Mary's & St James' (Islington),4,4. Administrative and secretarial occupations,397
E05013710,St Mary's & St James' (Islington),5,5. Skilled trades occupations,256
E05013710,St Mary's & St James' (Islington),6,"6. Caring, leisure and other service occupations",296
E05013710,St Mary's & St James' (Islington),7,7. Sales and customer service occupations,283
E05013710,St Mary's & St James' (Islington),8,"8. Process, plant and machine operatives",144
E05013710,St Mary's & St James' (Islington),9,9. Elementary occupations,298
E05013711,St Peter's & Canalside,-8,Does not apply,5432
E05013711,St Peter's & Canalside,1,"1. Managers, directors and senior officials",1088
E05013711,St Peter's & Canalside,2,2. Professional occupations,2250
E05013711,St Peter's & Canalside,3,3. Associate professional and technical occupations,1161
E05013711,St Peter's & Canalside,4,4. Administrative and secretarial occupations,357
E05013711,St Peter's & Canalside,5,5. Skilled trades occupations,220
E05013711,St Peter's & Canalside,6,"6. Caring, leisure and other service occupations",306
E05013711,St Peter's & Canalside,7,7. Sales and customer service occupations,275
E05013711,St Peter's & Canalside,8,"8. Process, plant and machine operatives",200
E05013711,St Peter's & Canalside,9,9. Elementary occupations,333
E05013712,Tollington,-8,Does not apply,6154
E05013712,Tollington,1,"1. Managers, directors and senior officials",985
E05013712,Tollington,2,2. Professional occupations,2539
E05013712,Tollington,3,3. Associate professional and technical occupations,1654
E05013712,Tollington,4,4. Administrative and secretarial occupations,485
E05013712,Tollington,5,5. Skilled trades occupations,375
E05013712,Tollington,6,"6. Caring, leisure and other service occupations",449
E05013712,Tollington,7,7. Sales and customer service occupations,384
E05013712,Tollington,8,"8. Process, plant and machine operatives",210
E05013712,Tollington,9,9. Elementary occupations,529
E05013713,Tufnell Park,-8,Does not apply,5811
E05013713,Tufnell Park,1,"1. Managers, directors and senior officials",943
E05013713,Tufnell Park,2,2. Professional occupations,2206
E05013713,Tufnell Park,3,3. Associate professional and technical occupations,1396
E05013713,Tufnell Park,4,4. Administrative and secretarial occupations,385
E05013713,Tufnell Park,5,5. Skilled trades occupations,288
E05013713,Tufnell Park,6,"6. Caring, leisure and other service occupations",372
E05013713,Tufnell Park,7,7. Sales and customer service occupations,303
E05013713,Tufnell Park,8,"8. Process, plant and machine operatives",222
E05013713,Tufnell Park,9,9. Elementary occupations,466
E05013714,Bellingham (Lewisham),-8,Does not apply,6550
E05013714,Bellingham (Lewisham),1,"1. Managers, directors and senior officials",423
E05013714,Bellingham (Lewisham),2,2. Professional occupations,923
E05013714,Bellingham (Lewisham),3,3. Associate professional and technical occupations,645
E05013714,Bellingham (Lewisham),4,4. Administrative and secretarial occupations,430
E05013714,Bellingham (Lewisham),5,5. Skilled trades occupations,466
E05013714,Bellingham (Lewisham),6,"6. Caring, leisure and other service occupations",682
E05013714,Bellingham (Lewisham),7,7. Sales and customer service occupations,524
E05013714,Bellingham (Lewisham),8,"8. Process, plant and machine operatives",364
E05013714,Bellingham (Lewisham),9,9. Elementary occupations,654
E05013715,Blackheath (Lewisham),-8,Does not apply,7516
E05013715,Blackheath (Lewisham),1,"1. Managers, directors and senior officials",1533
E05013715,Blackheath (Lewisham),2,2. Professional occupations,2861
E05013715,Blackheath (Lewisham),3,3. Associate professional and technical occupations,1616
E05013715,Blackheath (Lewisham),4,4. Administrative and secretarial occupations,647
E05013715,Blackheath (Lewisham),5,5. Skilled trades occupations,412
E05013715,Blackheath (Lewisham),6,"6. Caring, leisure and other service occupations",603
E05013715,Blackheath (Lewisham),7,7. Sales and customer service occupations,415
E05013715,Blackheath (Lewisham),8,"8. Process, plant and machine operatives",244
E05013715,Blackheath (Lewisham),9,9. Elementary occupations,582
E05013716,Brockley,-8,Does not apply,7538
E05013716,Brockley,1,"1. Managers, directors and senior officials",1335
E05013716,Brockley,2,2. Professional occupations,3114
E05013716,Brockley,3,3. Associate professional and technical occupations,2144
E05013716,Brockley,4,4. Administrative and secretarial occupations,646
E05013716,Brockley,5,5. Skilled trades occupations,494
E05013716,Brockley,6,"6. Caring, leisure and other service occupations",681
E05013716,Brockley,7,7. Sales and customer service occupations,446
E05013716,Brockley,8,"8. Process, plant and machine operatives",314
E05013716,Brockley,9,9. Elementary occupations,785
E05013717,Catford South,-8,Does not apply,8964
E05013717,Catford South,1,"1. Managers, directors and senior officials",1023
E05013717,Catford South,2,2. Professional occupations,1956
E05013717,Catford South,3,3. Associate professional and technical occupations,1190
E05013717,Catford South,4,4. Administrative and secretarial occupations,824
E05013717,Catford South,5,5. Skilled trades occupations,658
E05013717,Catford South,6,"6. Caring, leisure and other service occupations",779
E05013717,Catford South,7,7. Sales and customer service occupations,665
E05013717,Catford South,8,"8. Process, plant and machine operatives",445
E05013717,Catford South,9,9. Elementary occupations,753
E05013718,Crofton Park,-8,Does not apply,6866
E05013718,Crofton Park,1,"1. Managers, directors and senior officials",1310
E05013718,Crofton Park,2,2. Professional occupations,2737
E05013718,Crofton Park,3,3. Associate professional and technical occupations,1746
E05013718,Crofton Park,4,4. Administrative and secretarial occupations,617
E05013718,Crofton Park,5,5. Skilled trades occupations,486
E05013718,Crofton Park,6,"6. Caring, leisure and other service occupations",535
E05013718,Crofton Park,7,7. Sales and customer service occupations,388
E05013718,Crofton Park,8,"8. Process, plant and machine operatives",235
E05013718,Crofton Park,9,9. Elementary occupations,507
E05013719,Deptford,-8,Does not apply,8171
E05013719,Deptford,1,"1. Managers, directors and senior officials",932
E05013719,Deptford,2,2. Professional occupations,2117
E05013719,Deptford,3,3. Associate professional and technical occupations,1657
E05013719,Deptford,4,4. Administrative and secretarial occupations,622
E05013719,Deptford,5,5. Skilled trades occupations,538
E05013719,Deptford,6,"6. Caring, leisure and other service occupations",935
E05013719,Deptford,7,7. Sales and customer service occupations,553
E05013719,Deptford,8,"8. Process, plant and machine operatives",355
E05013719,Deptford,9,9. Elementary occupations,1122
E05013720,Downham,-8,Does not apply,10182
E05013720,Downham,1,"1. Managers, directors and senior officials",789
E05013720,Downham,2,2. Professional occupations,1397
E05013720,Downham,3,3. Associate professional and technical occupations,974
E05013720,Downham,4,4. Administrative and secretarial occupations,695
E05013720,Downham,5,5. Skilled trades occupations,902
E05013720,Downham,6,"6. Caring, leisure and other service occupations",1044
E05013720,Downham,7,7. Sales and customer service occupations,787
E05013720,Downham,8,"8. Process, plant and machine operatives",610
E05013720,Downham,9,9. Elementary occupations,979
E05013721,Evelyn,-8,Does not apply,6363
E05013721,Evelyn,1,"1. Managers, directors and senior officials",985
E05013721,Evelyn,2,2. Professional occupations,2337
E05013721,Evelyn,3,3. Associate professional and technical occupations,1285
E05013721,Evelyn,4,4. Administrative and secretarial occupations,521
E05013721,Evelyn,5,5. Skilled trades occupations,500
E05013721,Evelyn,6,"6. Caring, leisure and other service occupations",720
E05013721,Evelyn,7,7. Sales and customer service occupations,546
E05013721,Evelyn,8,"8. Process, plant and machine operatives",318
E05013721,Evelyn,9,9. Elementary occupations,859
E05013722,Forest Hill,-8,Does not apply,6946
E05013722,Forest Hill,1,"1. Managers, directors and senior officials",1309
