Electoral wards and divisions Code,Electoral wards and divisions,General health (6 categories) Code,General health (6 categories),Observation
E05009391,Chelsea Riverside,4,Bad health,392
E05009391,Chelsea Riverside,5,Very bad health,146
E05009392,Colville,-8,Does not apply,0
E05009392,Colville,1,Very good health,4603
E05009392,Colville,2,Good health,2423
E05009392,Colville,3,Fair health,972
E05009392,Colville,4,Bad health,447
E05009392,Colville,5,Very bad health,129
E05009393,Courtfield,-8,Does not apply,0
E05009393,Courtfield,1,Very good health,5611
E05009393,Courtfield,2,Good health,2051
E05009393,Courtfield,3,Fair health,482
E05009393,Courtfield,4,Bad health,142
E05009393,Courtfield,5,Very bad health,44
E05009394,Dalgarno,-8,Does not apply,0
E05009394,Dalgarno,1,Very good health,3495
E05009394,Dalgarno,2,Good health,2184
E05009394,Dalgarno,3,Fair health,1021
E05009394,Dalgarno,4,Bad health,375
E05009394,Dalgarno,5,Very bad health,137
E05009395,Earl's Court,-8,Does not apply,0
E05009395,Earl's Court,1,Very good health,5333
E05009395,Earl's Court,2,Good health,2483
E05009395,Earl's Court,3,Fair health,742
E05009395,Earl's Court,4,Bad health,296
E05009395,Earl's Court,5,Very bad health,83
E05009396,Golborne,-8,Does not apply,0
E05009396,Golborne,1,Very good health,4294
E05009396,Golborne,2,Good health,2692
E05009396,Golborne,3,Fair health,1164
E05009396,Golborne,4,Bad health,445
E05009396,Golborne,5,Very bad health,208
E05009397,Holland,-8,Does not apply,0
E05009397,Holland,1,Very good health,5702
E05009397,Holland,2,Good health,2315
E05009397,Holland,3,Fair health,750
E05009397,Holland,4,Bad health,247
E05009397,Holland,5,Very bad health,88
E05009398,Norland,-8,Does not apply,0
E05009398,Norland,1,Very good health,3571
E05009398,Norland,2,Good health,1466
E05009398,Norland,3,Fair health,481
E05009398,Norland,4,Bad health,142
E05009398,Norland,5,Very bad health,42
E05009399,Notting Dale,-8,Does not apply,0
E05009399,Notting Dale,1,Very good health,4547
E05009399,Notting Dale,2,Good health,2520
E05009399,Notting Dale,3,Fair health,1349
E05009399,Notting Dale,4,Bad health,572
E05009399,Notting Dale,5,Very bad health,152
E05009400,Pembridge,-8,Does not apply,0
E05009400,Pembridge,1,Very good health,3388
E05009400,Pembridge,2,Good health,1421
E05009400,Pembridge,3,Fair health,372
E05009400,Pembridge,4,Bad health,118
E05009400,Pembridge,5,Very bad health,82
E05009401,Queen's Gate,-8,Does not apply,0
E05009401,Queen's Gate,1,Very good health,5294
E05009401,Queen's Gate,2,Good health,2056
E05009401,Queen's Gate,3,Fair health,445
E05009401,Queen's Gate,4,Bad health,94
E05009401,Queen's Gate,5,Very bad health,17
E05009402,Redcliffe,-8,Does not apply,0
E05009402,Redcliffe,1,Very good health,6083
E05009402,Redcliffe,2,Good health,2173
E05009402,Redcliffe,3,Fair health,642
E05009402,Redcliffe,4,Bad health,232
E05009402,Redcliffe,5,Very bad health,64
E05009403,Royal Hospital,-8,Does not apply,0
E05009403,Royal Hospital,1,Very good health,5176
E05009403,Royal Hospital,2,Good health,2218
E05009403,Royal Hospital,3,Fair health,708
E05009403,Royal Hospital,4,Bad health,226
E05009403,Royal Hospital,5,Very bad health,89
E05009404,St. Helen's (Kensington and Chelsea),-8,Does not apply,0
E05009404,St. Helen's (Kensington and Chelsea),1,Very good health,3325
E05009404,St. Helen's (Kensington and Chelsea),2,Good health,1727
E05009404,St. Helen's (Kensington and Chelsea),3,Fair health,743
E05009404,St. Helen's (Kensington and Chelsea),4,Bad health,279
E05009404,St. Helen's (Kensington and Chelsea),5,Very bad health,86
E05009405,Stanley (Kensington and Chelsea),-8,Does not apply,0
E05009405,Stanley (Kensington and Chelsea),1,Very good health,5177
E05009405,Stanley (Kensington and Chelsea),2,Good health,2230
E05009405,Stanley (Kensington and Chelsea),3,Fair health,741
E05009405,Stanley (Kensington and Chelsea),4,Bad health,328
E05009405,Stanley (Kensington and Chelsea),5,Very bad health,106
E05011095,Borough & Bankside,-8,Does not apply,0
E05011095,Borough & Bankside,1,Very good health,5065
E05011095,Borough & Bankside,2,Good health,2777
E05011095,Borough & Bankside,3,Fair health,840
E05011095,Borough & Bankside,4,Bad health,246
E05011095,Borough & Bankside,5,Very bad health,83
E05011096,Camberwell Green,-8,Does not apply,0
E05011096,Camberwell Green,1,Very good health,8375
E05011096,Camberwell Green,2,Good health,4846
E05011096,Camberwell Green,3,Fair health,1631
E05011096,Camberwell Green,4,Bad health,501
E05011096,Camberwell Green,5,Very bad health,156
E05011097,Champion Hill,-8,Does not apply,0
E05011097,Champion Hill,1,Very good health,5340
E05011097,Champion Hill,2,Good health,2744
E05011097,Champion Hill,3,Fair health,787
E05011097,Champion Hill,4,Bad health,264
E05011097,Champion Hill,5,Very bad health,84
E05011098,Chaucer,-8,Does not apply,0
E05011098,Chaucer,1,Very good health,8416
E05011098,Chaucer,2,Good health,4476
E05011098,Chaucer,3,Fair health,1275
E05011098,Chaucer,4,Bad health,421
E05011098,Chaucer,5,Very bad health,144
E05011099,Dulwich Hill,-8,Does not apply,0
E05011099,Dulwich Hill,1,Very good health,5606
E05011099,Dulwich Hill,2,Good health,2860
E05011099,Dulwich Hill,3,Fair health,790
E05011099,Dulwich Hill,4,Bad health,262
E05011099,Dulwich Hill,5,Very bad health,72
E05011100,Dulwich Village,-8,Does not apply,0
E05011100,Dulwich Village,1,Very good health,6445
E05011100,Dulwich Village,2,Good health,2806
E05011100,Dulwich Village,3,Fair health,711
E05011100,Dulwich Village,4,Bad health,223
E05011100,Dulwich Village,5,Very bad health,70
E05011101,Dulwich Wood,-8,Does not apply,0
E05011101,Dulwich Wood,1,Very good health,6072
E05011101,Dulwich Wood,2,Good health,3166
E05011101,Dulwich Wood,3,Fair health,970
E05011101,Dulwich Wood,4,Bad health,270
E05011101,Dulwich Wood,5,Very bad health,110
E05011102,Faraday,-8,Does not apply,0
E05011102,Faraday,1,Very good health,6923
E05011102,Faraday,2,Good health,3797
E05011102,Faraday,3,Fair health,1242
E05011102,Faraday,4,Bad health,380
E05011102,Faraday,5,Very bad health,123
E05011103,Goose Green,-8,Does not apply,0
E05011103,Goose Green,1,Very good health,8095
E05011103,Goose Green,2,Good health,3851
E05011103,Goose Green,3,Fair health,1208
E05011103,Goose Green,4,Bad health,348
E05011103,Goose Green,5,Very bad health,110
E05011104,London Bridge & West Bermondsey,-8,Does not apply,0
E05011104,London Bridge & West Bermondsey,1,Very good health,8789
E05011104,London Bridge & West Bermondsey,2,Good health,4352
E05011104,London Bridge & West Bermondsey,3,Fair health,1367
E05011104,London Bridge & West Bermondsey,4,Bad health,445
