Electoral wards and divisions Code,Electoral wards and divisions,Residence type (2 categories) Code,Residence type (2 categories),Observation
E05013925,Stratford Olympic Park,2,Lives in a communal establishment,772
E05013926,Wall End,1,Lives in a household,16492
E05013926,Wall End,2,Lives in a communal establishment,8
E05013927,West Ham,1,Lives in a household,15657
E05013927,West Ham,2,Lives in a communal establishment,43
E05013928,Alexandra (Kingston upon Thames),1,Lives in a household,6382
E05013928,Alexandra (Kingston upon Thames),2,Lives in a communal establishment,31
E05013929,Berrylands,1,Lives in a household,6104
E05013929,Berrylands,2,Lives in a communal establishment,8
E05013930,Canbury Gardens,1,Lives in a household,8261
E05013930,Canbury Gardens,2,Lives in a communal establishment,0
E05013931,Chessington South & Malden Rushett,1,Lives in a household,9458
E05013931,Chessington South & Malden Rushett,2,Lives in a communal establishment,30
E05013932,Coombe Hill,1,Lives in a household,7100
E05013932,Coombe Hill,2,Lives in a communal establishment,319
E05013933,Coombe Vale,1,Lives in a household,10394
E05013933,Coombe Vale,2,Lives in a communal establishment,62
E05013934,Green Lane & St James,1,Lives in a household,6646
E05013934,Green Lane & St James,2,Lives in a communal establishment,405
E05013935,Hook & Chessington North,1,Lives in a household,11085
E05013935,Hook & Chessington North,2,Lives in a communal establishment,26
E05013936,King George's & Sunray,1,Lives in a household,5605
E05013936,King George's & Sunray,2,Lives in a communal establishment,0
E05013937,Kingston Gate,1,Lives in a household,10823
E05013937,Kingston Gate,2,Lives in a communal establishment,2
E05013938,Kingston Town,1,Lives in a household,9481
E05013938,Kingston Town,2,Lives in a communal establishment,808
E05013939,Motspur Park & Old Malden East,1,Lives in a household,6893
E05013939,Motspur Park & Old Malden East,2,Lives in a communal establishment,98
E05013940,New Malden Village,1,Lives in a household,9489
E05013940,New Malden Village,2,Lives in a communal establishment,94
E05013941,Norbiton,1,Lives in a household,10870
E05013941,Norbiton,2,Lives in a communal establishment,317
E05013942,Old Malden,1,Lives in a household,6687
E05013942,Old Malden,2,Lives in a communal establishment,8
E05013943,St Mark's & Seething Wells,1,Lives in a household,10934
E05013943,St Mark's & Seething Wells,2,Lives in a communal establishment,875
E05013944,Surbiton Hill,1,Lives in a household,10347
E05013944,Surbiton Hill,2,Lives in a communal establishment,289
E05013945,Tolworth,1,Lives in a household,11186
E05013945,Tolworth,2,Lives in a communal establishment,2
E05013946,Tudor (Kingston upon Thames),1,Lives in a household,6944
E05013946,Tudor (Kingston upon Thames),2,Lives in a communal establishment,0
E05013967,Beam Park,1,Lives in a household,4883
E05013967,Beam Park,2,Lives in a communal establishment,0
E05013968,Cranham,1,Lives in a household,12967
E05013968,Cranham,2,Lives in a communal establishment,20
E05013969,Elm Park,1,Lives in a household,16646
E05013969,Elm Park,2,Lives in a communal establishment,0
E05013970,Emerson Park,1,Lives in a household,9474
E05013970,Emerson Park,2,Lives in a communal establishment,61
E05013971,Gooshays,1,Lives in a household,17686
E05013971,Gooshays,2,Lives in a communal establishment,94
E05013972,Hacton,1,Lives in a household,8455
E05013972,Hacton,2,Lives in a communal establishment,34
E05013973,Harold Wood,1,Lives in a household,13704
E05013973,Harold Wood,2,Lives in a communal establishment,103
E05013974,Havering-atte-Bower,1,Lives in a household,16139
E05013974,Havering-atte-Bower,2,Lives in a communal establishment,236
E05013975,Heaton (Havering),1,Lives in a household,17131
E05013975,Heaton (Havering),2,Lives in a communal establishment,80
E05013976,Hylands & Harrow Lodge,1,Lives in a household,13737
E05013976,Hylands & Harrow Lodge,2,Lives in a communal establishment,21
E05013977,Marshalls & Rise Park,1,Lives in a household,12880
E05013977,Marshalls & Rise Park,2,Lives in a communal establishment,72
E05013978,Mawneys,1,Lives in a household,14450
E05013978,Mawneys,2,Lives in a communal establishment,31
E05013979,Rainham & Wennington,1,Lives in a household,13538
E05013979,Rainham & Wennington,2,Lives in a communal establishment,29
E05013980,Rush Green & Crowlands,1,Lives in a household,15855
E05013980,Rush Green & Crowlands,2,Lives in a communal establishment,167
E05013981,St Alban's,1,Lives in a household,8667
E05013981,St Alban's,2,Lives in a communal establishment,71
E05013982,St Andrew's (Havering),1,Lives in a household,14569
E05013982,St Andrew's (Havering),2,Lives in a communal establishment,83
E05013983,St Edward's,1,Lives in a household,10282
E05013983,St Edward's,2,Lives in a communal establishment,141
E05013984,South Hornchurch,1,Lives in a household,10841
E05013984,South Hornchurch,2,Lives in a communal establishment,44
E05013985,Squirrels Heath,1,Lives in a household,15456
E05013985,Squirrels Heath,2,Lives in a communal establishment,58
E05013986,Upminster,1,Lives in a household,13193
E05013986,Upminster,2,Lives in a communal establishment,154
E05013987,Beckenham Town & Copers Cope,1,Lives in a household,16261
E05013987,Beckenham Town & Copers Cope,2,Lives in a communal establishment,102
E05013988,Bickley & Sundridge,1,Lives in a household,17418
E05013988,Bickley & Sundridge,2,Lives in a communal establishment,346
E05013989,Biggin Hill,1,Lives in a household,10817
E05013989,Biggin Hill,2,Lives in a communal establishment,0
E05013990,Bromley Common & Holwood,1,Lives in a household,18770
E05013990,Bromley Common & Holwood,2,Lives in a communal establishment,10
E05013991,Bromley Town,1,Lives in a household,15285
E05013991,Bromley Town,2,Lives in a communal establishment,115
E05013992,Chelsfield,1,Lives in a household,11192
E05013992,Chelsfield,2,Lives in a communal establishment,42
E05013993,Chislehurst,1,Lives in a household,15120
E05013993,Chislehurst,2,Lives in a communal establishment,450
E05013994,Clock House,1,Lives in a household,17255
E05013994,Clock House,2,Lives in a communal establishment,104
E05013995,Crystal Palace & Anerley,1,Lives in a household,11883
E05013995,Crystal Palace & Anerley,2,Lives in a communal establishment,146
E05013996,Darwin,1,Lives in a household,5709
E05013996,Darwin,2,Lives in a communal establishment,63
E05013997,Farnborough & Crofton,1,Lives in a household,17682
E05013997,Farnborough & Crofton,2,Lives in a communal establishment,21
E05013998,Hayes & Coney Hall,1,Lives in a household,15831
E05013998,Hayes & Coney Hall,2,Lives in a communal establishment,77
E05013999,Kelsey & Eden Park,1,Lives in a household,15367
E05013999,Kelsey & Eden Park,2,Lives in a communal establishment,98
E05014000,Mottingham,1,Lives in a household,11460
E05014000,Mottingham,2,Lives in a communal establishment,28
E05014001,Orpington,1,Lives in a household,11952
E05014001,Orpington,2,Lives in a communal establishment,8
E05014002,Penge & Cator,1,Lives in a household,18879
E05014002,Penge & Cator,2,Lives in a communal establishment,29
E05014003,Petts Wood & Knoll,1,Lives in a household,17260
E05014003,Petts Wood & Knoll,2,Lives in a communal establishment,0
E05014004,Plaistow,1,Lives in a household,13426
E05014004,Plaistow,2,Lives in a communal establishment,52
E05014005,Shortlands & Park Langley,1,Lives in a household,16196
E05014005,Shortlands & Park Langley,2,Lives in a communal establishment,14
E05014006,St Mary Cray,1,Lives in a household,18430
E05014006,St Mary Cray,2,Lives in a communal establishment,6
E05014007,St Paul's Cray,1,Lives in a household,17295
E05014007,St Paul's Cray,2,Lives in a communal establishment,18
E05014008,West Wickham,1,Lives in a household,14712
E05014008,West Wickham,2,Lives in a communal establishment,56
E05014009,Balham,1,Lives in a household,17532
E05014009,Balham,2,Lives in a communal establishment,175
E05014010,Battersea Park,1,Lives in a household,18993
E05014010,Battersea Park,2,Lives in a communal establishment,183
E05014011,East Putney,1,Lives in a household,16875
E05014011,East Putney,2,Lives in a communal establishment,43
E05014012,Falconbrook,1,Lives in a household,11625
E05014012,Falconbrook,2,Lives in a communal establishment,357
E05014013,Furzedown,1,Lives in a household,17770
E05014013,Furzedown,2,Lives in a communal establishment,283
E05014014,Lavender,1,Lives in a household,13450
E05014014,Lavender,2,Lives in a communal establishment,2
E05014015,Nine Elms,1,Lives in a household,5397
E05014015,Nine Elms,2,Lives in a communal establishment,0
E05014016,Northcote,1,Lives in a household,12861
E05014016,Northcote,2,Lives in a communal establishment,1
E05014017,Roehampton,1,Lives in a household,17382
E05014017,Roehampton,2,Lives in a communal establishment,1464
E05014018,St Mary's (Wandsworth),1,Lives in a household,14116
E05014018,St Mary's (Wandsworth),2,Lives in a communal establishment,67
E05014019,Shaftesbury & Queenstown,1,Lives in a household,15179
E05014019,Shaftesbury & Queenstown,2,Lives in a communal establishment,2
E05014020,South Balham,1,Lives in a household,9824
E05014020,South Balham,2,Lives in a communal establishment,4
E05014021,Southfields,1,Lives in a household,12657
E05014021,Southfields,2,Lives in a communal establishment,2
E05014022,Thamesfield,1,Lives in a household,16704
E05014022,Thamesfield,2,Lives in a communal establishment,13
E05014023,Tooting Bec,1,Lives in a household,16969
E05014023,Tooting Bec,2,Lives in a communal establishment,59
E05014024,Tooting Broadway,1,Lives in a household,17181
E05014024,Tooting Broadway,2,Lives in a communal establishment,37
E05014025,Trinity (Wandsworth),1,Lives in a household,10983
E05014025,Trinity (Wandsworth),2,Lives in a communal establishment,200
E05014026,Wandle (Wandsworth),1,Lives in a household,10579
E05014026,Wandle (Wandsworth),2,Lives in a communal establishment,6
E05014027,Wandsworth Common,1,Lives in a household,15453
E05014027,Wandsworth Common,2,Lives in a communal establishment,1140
E05014028,Wandsworth Town,1,Lives in a household,18168
E05014028,Wandsworth Town,2,Lives in a communal establishment,44
E05014029,West Hill (Wandsworth),1,Lives in a household,16485
E05014029,West Hill (Wandsworth),2,Lives in a communal establishment,330
E05014030,West Putney,1,Lives in a household,16814
E05014030,West Putney,2,Lives in a communal establishment,94
E05014053,Abbey (Barking and Dagenham),1,Lives in a household,3955
E05014053,Abbey (Barking and Dagenham),2,Lives in a communal establishment,0
E05014054,Alibon,1,Lives in a household,9959
E05014054,Alibon,2,Lives in a communal establishment,72
E05014055,Barking Riverside,1,Lives in a household,9954
E05014055,Barking Riverside,2,Lives in a communal establishment,1
E05014056,Beam,1,Lives in a household,8512
E05014056,Beam,2,Lives in a communal establishment,98
E05014057,Becontree,1,Lives in a household,9738
E05014057,Becontree,2,Lives in a communal establishment,61
E05014058,Chadwell Heath,1,Lives in a household,14028
E05014058,Chadwell Heath,2,Lives in a communal establishment,58
E05014059,Eastbrook & Rush Green,1,Lives in a household,8478
E05014059,Eastbrook & Rush Green,2,Lives in a communal establishment,171
E05014060,Eastbury,1,Lives in a household,15594
E05014060,Eastbury,2,Lives in a communal establishment,6
E05014061,Gascoigne,1,Lives in a household,10803
E05014061,Gascoigne,2,Lives in a communal establishment,28
E05014062,Goresbrook,1,Lives in a household,12967
E05014062,Goresbrook,2,Lives in a communal establishment,103
E05014063,Heath (Barking and Dagenham),1,Lives in a household,8884
E05014063,Heath (Barking and Dagenham),2,Lives in a communal establishment,110
E05014064,Longbridge,1,Lives in a household,13289
E05014064,Longbridge,2,Lives in a communal establishment,17
E05014065,Mayesbrook,1,Lives in a household,15919
E05014065,Mayesbrook,2,Lives in a communal establishment,3
E05014066,Northbury,1,Lives in a household,13041
E05014066,Northbury,2,Lives in a communal establishment,39
E05014067,Parsloes,1,Lives in a household,15238
E05014067,Parsloes,2,Lives in a communal establishment,13
E05014068,Thames View,1,Lives in a household,5909
E05014068,Thames View,2,Lives in a communal establishment,96
E05014069,Valence,1,Lives in a household,15481
E05014069,Valence,2,Lives in a communal establishment,0
E05014070,Village (Barking and Dagenham),1,Lives in a household,12505
E05014070,Village (Barking and Dagenham),2,Lives in a communal establishment,35
E05014071,Whalebone,1,Lives in a household,13695
E05014071,Whalebone,2,Lives in a communal establishment,11
E05014072,Abbey Wood,1,Lives in a household,17554
E05014072,Abbey Wood,2,Lives in a communal establishment,133
E05014073,Blackheath Westcombe,1,Lives in a household,14902
E05014073,Blackheath Westcombe,2,Lives in a communal establishment,133
E05014074,Charlton Hornfair,1,Lives in a household,12288
E05014074,Charlton Hornfair,2,Lives in a communal establishment,20
E05014075,Charlton Village & Riverside,1,Lives in a household,10446
E05014075,Charlton Village & Riverside,2,Lives in a communal establishment,70
E05014076,East Greenwich,1,Lives in a household,14467
E05014076,East Greenwich,2,Lives in a communal establishment,13
E05014077,Eltham Page,1,Lives in a household,9753
E05014077,Eltham Page,2,Lives in a communal establishment,0
E05014078,Eltham Park & Progress,1,Lives in a household,10766
E05014078,Eltham Park & Progress,2,Lives in a communal establishment,0
E05014079,Eltham Town & Avery Hill,1,Lives in a household,14936
E05014079,Eltham Town & Avery Hill,2,Lives in a communal establishment,599
E05014080,Greenwich Creekside,1,Lives in a household,10305
E05014080,Greenwich Creekside,2,Lives in a communal establishment,695
E05014081,Greenwich Park,1,Lives in a household,10128
E05014081,Greenwich Park,2,Lives in a communal establishment,426
E05014082,Greenwich Peninsula,1,Lives in a household,11201
E05014082,Greenwich Peninsula,2,Lives in a communal establishment,216
E05014083,Kidbrooke Park,1,Lives in a household,10030
E05014083,Kidbrooke Park,2,Lives in a communal establishment,59
E05014084,Kidbrooke Village & Sutcliffe,1,Lives in a household,6045
E05014084,Kidbrooke Village & Sutcliffe,2,Lives in a communal establishment,62
E05014085,Middle Park & Horn Park,1,Lives in a household,9478
E05014085,Middle Park & Horn Park,2,Lives in a communal establishment,39
E05014086,"Mottingham, Coldharbour & New Eltham",1,Lives in a household,14455
E05014086,"Mottingham, Coldharbour & New Eltham",2,Lives in a communal establishment,77
E05014087,Plumstead & Glyndon,1,Lives in a household,21902
E05014087,Plumstead & Glyndon,2,Lives in a communal establishment,70
E05014088,Plumstead Common,1,Lives in a household,15089
E05014088,Plumstead Common,2,Lives in a communal establishment,82
E05014089,Shooters Hill,1,Lives in a household,11810
E05014089,Shooters Hill,2,Lives in a communal establishment,81
E05014090,Thamesmead Moorings,1,Lives in a household,12375
E05014090,Thamesmead Moorings,2,Lives in a communal establishment,77
E05014091,West Thamesmead,1,Lives in a household,10469
E05014091,West Thamesmead,2,Lives in a communal establishment,1346
E05014092,Woolwich Arsenal,1,Lives in a household,12096
E05014092,Woolwich Arsenal,2,Lives in a communal establishment,4
E05014093,Woolwich Common,1,Lives in a household,12548
E05014093,Woolwich Common,2,Lives in a communal establishment,140
E05014094,Woolwich Dockyard,1,Lives in a household,11610
E05014094,Woolwich Dockyard,2,Lives in a communal establishment,78
E05014095,Brixton Acre Lane,1,Lives in a household,14483
E05014095,Brixton Acre Lane,2,Lives in a communal establishment,768
E05014096,Brixton North,1,Lives in a household,16051
E05014096,Brixton North,2,Lives in a communal establishment,273
E05014097,Brixton Rush Common,1,Lives in a household,14909
E05014097,Brixton Rush Common,2,Lives in a communal establishment,20
E05014098,Brixton Windrush,1,Lives in a household,9467
E05014098,Brixton Windrush,2,Lives in a communal establishment,15
E05014099,Clapham Common & Abbeville,1,Lives in a household,9984
E05014099,Clapham Common & Abbeville,2,Lives in a communal establishment,33
E05014100,Clapham East,1,Lives in a household,9766
E05014100,Clapham East,2,Lives in a communal establishment,79
E05014101,Clapham Park,1,Lives in a household,12704
E05014101,Clapham Park,2,Lives in a communal establishment,7
E05014102,Clapham Town,1,Lives in a household,15841
E05014102,Clapham Town,2,Lives in a communal establishment,63
E05014103,Gipsy Hill,1,Lives in a household,10251
E05014103,Gipsy Hill,2,Lives in a communal establishment,6
E05014104,Herne Hill & Loughborough Junction,1,Lives in a household,15992
E05014104,Herne Hill & Loughborough Junction,2,Lives in a communal establishment,164
E05014105,Kennington (Lambeth),1,Lives in a household,14540
E05014105,Kennington (Lambeth),2,Lives in a communal establishment,63
E05014106,Knight's Hill,1,Lives in a household,16781
E05014106,Knight's Hill,2,Lives in a communal establishment,126
E05014107,Myatt's Fields,1,Lives in a household,10869
E05014107,Myatt's Fields,2,Lives in a communal establishment,64
E05014108,Oval,1,Lives in a household,12075
E05014108,Oval,2,Lives in a communal establishment,366
E05014109,St Martin's (Lambeth),1,Lives in a household,10840
E05014109,St Martin's (Lambeth),2,Lives in a communal establishment,4
E05014110,Stockwell East,1,Lives in a household,10686
E05014110,Stockwell East,2,Lives in a communal establishment,59
E05014111,Stockwell West & Larkhall,1,Lives in a household,16281
E05014111,Stockwell West & Larkhall,2,Lives in a communal establishment,51
E05014112,Streatham Common & Vale,1,Lives in a household,17482
E05014112,Streatham Common & Vale,2,Lives in a communal establishment,177
E05014113,Streatham Hill East,1,Lives in a household,9751
E05014113,Streatham Hill East,2,Lives in a communal establishment,126
E05014114,Streatham Hill West & Thornton,1,Lives in a household,10880
E05014114,Streatham Hill West & Thornton,2,Lives in a communal establishment,9
E05014115,Streatham St Leonard's,1,Lives in a household,15570
E05014115,Streatham St Leonard's,2,Lives in a communal establishment,245
E05014116,Streatham Wells,1,Lives in a household,9611
E05014116,Streatham Wells,2,Lives in a communal establishment,146
E05014117,Vauxhall (Lambeth),1,Lives in a household,9367
E05014117,Vauxhall (Lambeth),2,Lives in a communal establishment,366
E05014118,Waterloo & South Bank,1,Lives in a household,7718
E05014118,Waterloo & South Bank,2,Lives in a communal establishment,1140
E05014119,West Dulwich,1,Lives in a household,11365
E05014119,West Dulwich,2,Lives in a communal establishment,19
E09000001,City of London,1,Lives in a household,8373
E09000001,City of London,2,Lives in a communal establishment,210
