Electoral wards and divisions Code,Electoral wards and divisions,Residence type (2 categories) Code,Residence type (2 categories),Observation
E05011470,New Addington North,1,Lives in a household,10935
E05011470,New Addington North,2,Lives in a communal establishment,1
E05011471,New Addington South,1,Lives in a household,11256
E05011471,New Addington South,2,Lives in a communal establishment,72
E05011472,Norbury & Pollards Hill,1,Lives in a household,12045
E05011472,Norbury & Pollards Hill,2,Lives in a communal establishment,100
E05011473,Norbury Park,1,Lives in a household,10781
E05011473,Norbury Park,2,Lives in a communal establishment,46
E05011474,Old Coulsdon,1,Lives in a household,10097
E05011474,Old Coulsdon,2,Lives in a communal establishment,12
E05011475,Park Hill & Whitgift,1,Lives in a household,5703
E05011475,Park Hill & Whitgift,2,Lives in a communal establishment,84
E05011476,Purley & Woodcote,1,Lives in a household,14750
E05011476,Purley & Woodcote,2,Lives in a communal establishment,434
E05011477,Purley Oaks & Riddlesdown,1,Lives in a household,9687
E05011477,Purley Oaks & Riddlesdown,2,Lives in a communal establishment,28
E05011478,Sanderstead,1,Lives in a household,15628
E05011478,Sanderstead,2,Lives in a communal establishment,145
E05011479,Selhurst,1,Lives in a household,13092
E05011479,Selhurst,2,Lives in a communal establishment,92
E05011480,Selsdon & Addington Village,1,Lives in a household,9928
E05011480,Selsdon & Addington Village,2,Lives in a communal establishment,0
E05011481,Selsdon Vale & Forestdale,1,Lives in a household,10009
E05011481,Selsdon Vale & Forestdale,2,Lives in a communal establishment,3
E05011482,Shirley North,1,Lives in a household,15393
E05011482,Shirley North,2,Lives in a communal establishment,9
E05011483,Shirley South (Croydon),1,Lives in a household,10537
E05011483,Shirley South (Croydon),2,Lives in a communal establishment,86
E05011484,South Croydon,1,Lives in a household,17699
E05011484,South Croydon,2,Lives in a communal establishment,365
E05011485,South Norwood,1,Lives in a household,16281
E05011485,South Norwood,2,Lives in a communal establishment,166
E05011486,Thornton Heath,1,Lives in a household,17897
E05011486,Thornton Heath,2,Lives in a communal establishment,105
E05011487,Waddon,1,Lives in a household,18417
E05011487,Waddon,2,Lives in a communal establishment,267
E05011488,West Thornton,1,Lives in a household,18643
E05011488,West Thornton,2,Lives in a communal establishment,121
E05011489,Woodside (Croydon),1,Lives in a household,16855
E05011489,Woodside (Croydon),2,Lives in a communal establishment,15
E05013496,Alperton,1,Lives in a household,15054
E05013496,Alperton,2,Lives in a communal establishment,2
E05013497,Barnhill,1,Lives in a household,11258
E05013497,Barnhill,2,Lives in a communal establishment,161
E05013498,Brondesbury Park,1,Lives in a household,13305
E05013498,Brondesbury Park,2,Lives in a communal establishment,130
E05013499,Cricklewood & Mapesbury,1,Lives in a household,14133
E05013499,Cricklewood & Mapesbury,2,Lives in a communal establishment,18
E05013500,Dollis Hill,1,Lives in a household,21660
E05013500,Dollis Hill,2,Lives in a communal establishment,188
E05013501,Harlesden & Kensal Green,1,Lives in a household,20064
E05013501,Harlesden & Kensal Green,2,Lives in a communal establishment,12
E05013502,Kenton (Brent),1,Lives in a household,17496
E05013502,Kenton (Brent),2,Lives in a communal establishment,190
E05013503,Kilburn (Brent),1,Lives in a household,17166
E05013503,Kilburn (Brent),2,Lives in a communal establishment,46
E05013504,Kingsbury (Brent),1,Lives in a household,11169
E05013504,Kingsbury (Brent),2,Lives in a communal establishment,67
E05013505,Northwick Park,1,Lives in a household,11989
E05013505,Northwick Park,2,Lives in a communal establishment,378
E05013506,Preston (Brent),1,Lives in a household,12586
E05013506,Preston (Brent),2,Lives in a communal establishment,76
E05013507,Queens Park (Brent),1,Lives in a household,17143
E05013507,Queens Park (Brent),2,Lives in a communal establishment,15
E05013508,Queensbury (Brent),1,Lives in a household,17135
E05013508,Queensbury (Brent),2,Lives in a communal establishment,54
E05013509,Roundwood,1,Lives in a household,16624
E05013509,Roundwood,2,Lives in a communal establishment,83
E05013510,Stonebridge,1,Lives in a household,20064
E05013510,Stonebridge,2,Lives in a communal establishment,191
E05013511,Sudbury,1,Lives in a household,13881
E05013511,Sudbury,2,Lives in a communal establishment,57
E05013512,Tokyngton,1,Lives in a household,9669
E05013512,Tokyngton,2,Lives in a communal establishment,337
E05013513,Welsh Harp,1,Lives in a household,17882
E05013513,Welsh Harp,2,Lives in a communal establishment,39
E05013514,Wembley Central,1,Lives in a household,17804
E05013514,Wembley Central,2,Lives in a communal establishment,121
E05013515,Wembley Hill,1,Lives in a household,15011
E05013515,Wembley Hill,2,Lives in a communal establishment,52
E05013516,Wembley Park,1,Lives in a household,5769
E05013516,Wembley Park,2,Lives in a communal establishment,1779
E05013517,Willesden Green,1,Lives in a household,18944
E05013517,Willesden Green,2,Lives in a communal establishment,13
E05013518,Central Greenford,1,Lives in a household,14327
E05013518,Central Greenford,2,Lives in a communal establishment,27
E05013519,Dormers Wells,1,Lives in a household,15456
E05013519,Dormers Wells,2,Lives in a communal establishment,153
E05013520,Ealing Broadway,1,Lives in a household,13777
E05013520,Ealing Broadway,2,Lives in a communal establishment,141
E05013521,Ealing Common,1,Lives in a household,15734
E05013521,Ealing Common,2,Lives in a communal establishment,211
E05013522,East Acton,1,Lives in a household,15189
E05013522,East Acton,2,Lives in a communal establishment,21
E05013523,Greenford Broadway,1,Lives in a household,17276
E05013523,Greenford Broadway,2,Lives in a communal establishment,108
E05013524,Hanger Hill,1,Lives in a household,16950
E05013524,Hanger Hill,2,Lives in a communal establishment,94
E05013525,Hanwell Broadway,1,Lives in a household,15167
E05013525,Hanwell Broadway,2,Lives in a communal establishment,123
E05013526,Lady Margaret,1,Lives in a household,15572
E05013526,Lady Margaret,2,Lives in a communal establishment,213
E05013527,North Acton,1,Lives in a household,17000
E05013527,North Acton,2,Lives in a communal establishment,2043
E05013528,North Greenford,1,Lives in a household,15557
E05013528,North Greenford,2,Lives in a communal establishment,0
E05013529,North Hanwell,1,Lives in a household,14956
E05013529,North Hanwell,2,Lives in a communal establishment,84
E05013530,Northfield (Ealing),1,Lives in a household,14262
E05013530,Northfield (Ealing),2,Lives in a communal establishment,3
E05013531,Northolt Mandeville,1,Lives in a household,17509
E05013531,Northolt Mandeville,2,Lives in a communal establishment,23
E05013532,Northolt West End,1,Lives in a household,16515
E05013532,Northolt West End,2,Lives in a communal establishment,21
E05013533,Norwood Green,1,Lives in a household,15775
E05013533,Norwood Green,2,Lives in a communal establishment,319
E05013534,Perivale,1,Lives in a household,16144
E05013534,Perivale,2,Lives in a communal establishment,41
E05013535,Pitshanger,1,Lives in a household,15021
E05013535,Pitshanger,2,Lives in a communal establishment,148
E05013536,South Acton,1,Lives in a household,16623
E05013536,South Acton,2,Lives in a communal establishment,199
E05013537,Southall Broadway,1,Lives in a household,10770
E05013537,Southall Broadway,2,Lives in a communal establishment,55
E05013538,Southall Green,1,Lives in a household,15655
E05013538,Southall Green,2,Lives in a communal establishment,39
E05013539,Southall West,1,Lives in a household,6580
E05013539,Southall West,2,Lives in a communal establishment,1
E05013540,Southfield,1,Lives in a household,16463
E05013540,Southfield,2,Lives in a communal establishment,9
E05013541,Walpole,1,Lives in a household,14629
E05013541,Walpole,2,Lives in a communal establishment,127
E05013542,Belmont (Harrow),1,Lives in a household,9016
E05013542,Belmont (Harrow),2,Lives in a communal establishment,5
E05013543,Canons,1,Lives in a household,9720
E05013543,Canons,2,Lives in a communal establishment,15
E05013544,Centenary,1,Lives in a household,15178
E05013544,Centenary,2,Lives in a communal establishment,22
E05013545,Edgware (Harrow),1,Lives in a household,15655
E05013545,Edgware (Harrow),2,Lives in a communal establishment,58
E05013546,Greenhill (Harrow),1,Lives in a household,10872
E05013546,Greenhill (Harrow),2,Lives in a communal establishment,143
E05013547,Harrow on the Hill,1,Lives in a household,9860
E05013547,Harrow on the Hill,2,Lives in a communal establishment,926
E05013548,Harrow Weald,1,Lives in a household,14084
E05013548,Harrow Weald,2,Lives in a communal establishment,257
E05013549,Hatch End,1,Lives in a household,9774
E05013549,Hatch End,2,Lives in a communal establishment,48
E05013550,Headstone,1,Lives in a household,14880
E05013550,Headstone,2,Lives in a communal establishment,2
E05013551,Kenton East,1,Lives in a household,13598
E05013551,Kenton East,2,Lives in a communal establishment,16
E05013552,Kenton West,1,Lives in a household,9900
E05013552,Kenton West,2,Lives in a communal establishment,90
E05013553,Marlborough,1,Lives in a household,11820
E05013553,Marlborough,2,Lives in a communal establishment,170
E05013554,North Harrow,1,Lives in a household,8983
E05013554,North Harrow,2,Lives in a communal establishment,11
E05013555,Pinner,1,Lives in a household,13061
E05013555,Pinner,2,Lives in a communal establishment,76
E05013556,Pinner South,1,Lives in a household,15729
E05013556,Pinner South,2,Lives in a communal establishment,10
E05013557,Rayners Lane,1,Lives in a household,9140
E05013557,Rayners Lane,2,Lives in a communal establishment,3
E05013558,Roxbourne,1,Lives in a household,9874
E05013558,Roxbourne,2,Lives in a communal establishment,31
E05013559,Roxeth,1,Lives in a household,15852
E05013559,Roxeth,2,Lives in a communal establishment,12
E05013560,Stanmore,1,Lives in a household,13313
E05013560,Stanmore,2,Lives in a communal establishment,188
E05013561,Wealdstone North,1,Lives in a household,10483
E05013561,Wealdstone North,2,Lives in a communal establishment,5
E05013562,Wealdstone South,1,Lives in a household,7853
E05013562,Wealdstone South,2,Lives in a communal establishment,104
E05013563,West Harrow,1,Lives in a household,10360
E05013563,West Harrow,2,Lives in a communal establishment,3
E05013564,Belmore,1,Lives in a household,17466
E05013564,Belmore,2,Lives in a communal establishment,27
E05013565,Charville,1,Lives in a household,11433
E05013565,Charville,2,Lives in a communal establishment,78
E05013566,Colham & Cowley,1,Lives in a household,17539
E05013566,Colham & Cowley,2,Lives in a communal establishment,1596
E05013567,Eastcote,1,Lives in a household,16855
E05013567,Eastcote,2,Lives in a communal establishment,56
E05013568,Harefield Village,1,Lives in a household,5605
E05013568,Harefield Village,2,Lives in a communal establishment,136
E05013569,Hayes Town,1,Lives in a household,14938
E05013569,Hayes Town,2,Lives in a communal establishment,60
E05013570,Heathrow Villages,1,Lives in a household,13894
E05013570,Heathrow Villages,2,Lives in a communal establishment,147
E05013571,Hillingdon East,1,Lives in a household,15708
E05013571,Hillingdon East,2,Lives in a communal establishment,96
E05013572,Hillingdon West,1,Lives in a household,9622
E05013572,Hillingdon West,2,Lives in a communal establishment,68
E05013573,Ickenham & South Harefield,1,Lives in a household,15485
E05013573,Ickenham & South Harefield,2,Lives in a communal establishment,31
E05013574,Northwood (Hillingdon),1,Lives in a household,11142
E05013574,Northwood (Hillingdon),2,Lives in a communal establishment,168
E05013575,Northwood Hills,1,Lives in a household,11694
E05013575,Northwood Hills,2,Lives in a communal establishment,77
E05013576,Pinkwell,1,Lives in a household,16698
E05013576,Pinkwell,2,Lives in a communal establishment,11
E05013577,Ruislip,1,Lives in a household,15383
E05013577,Ruislip,2,Lives in a communal establishment,58
E05013578,Ruislip Manor,1,Lives in a household,10943
E05013578,Ruislip Manor,2,Lives in a communal establishment,37
E05013579,South Ruislip,1,Lives in a household,16568
E05013579,South Ruislip,2,Lives in a communal establishment,270
E05013580,Uxbridge,1,Lives in a household,15859
E05013580,Uxbridge,2,Lives in a communal establishment,2103
E05013581,West Drayton,1,Lives in a household,18159
E05013581,West Drayton,2,Lives in a communal establishment,274
E05013582,Wood End,1,Lives in a household,19613
E05013582,Wood End,2,Lives in a communal establishment,189
E05013583,Yeading,1,Lives in a household,13416
E05013583,Yeading,2,Lives in a communal establishment,0
E05013584,Yiewsley,1,Lives in a household,12400
E05013584,Yiewsley,2,Lives in a communal establishment,6
E05013585,Alexandra Park,1,Lives in a household,8838
E05013585,Alexandra Park,2,Lives in a communal establishment,0
E05013586,Bounds Green,1,Lives in a household,9822
E05013586,Bounds Green,2,Lives in a communal establishment,11
E05013587,Bruce Castle,1,Lives in a household,13365
E05013587,Bruce Castle,2,Lives in a communal establishment,112
E05013588,Crouch End,1,Lives in a household,13039
E05013588,Crouch End,2,Lives in a communal establishment,1
E05013589,Fortis Green,1,Lives in a household,12384
E05013589,Fortis Green,2,Lives in a communal establishment,214
E05013590,Harringay,1,Lives in a household,14563
E05013590,Harringay,2,Lives in a communal establishment,5
E05013591,Hermitage & Gardens,1,Lives in a household,8388
E05013591,Hermitage & Gardens,2,Lives in a communal establishment,49
E05013592,Highgate (Haringey),1,Lives in a household,12726
E05013592,Highgate (Haringey),2,Lives in a communal establishment,38
E05013593,Hornsey,1,Lives in a household,14973
E05013593,Hornsey,2,Lives in a communal establishment,62
E05013594,Muswell Hill,1,Lives in a household,8650
E05013594,Muswell Hill,2,Lives in a communal establishment,129
E05013595,Noel Park,1,Lives in a household,13637
E05013595,Noel Park,2,Lives in a communal establishment,77
E05013596,Northumberland Park,1,Lives in a household,14643
E05013596,Northumberland Park,2,Lives in a communal establishment,62
E05013597,St Ann's (Haringey),1,Lives in a household,10531
E05013597,St Ann's (Haringey),2,Lives in a communal establishment,59
E05013598,Seven Sisters,1,Lives in a household,9189
E05013598,Seven Sisters,2,Lives in a communal establishment,49
E05013599,South Tottenham,1,Lives in a household,16559
E05013599,South Tottenham,2,Lives in a communal establishment,262
E05013600,Stroud Green,1,Lives in a household,10748
E05013600,Stroud Green,2,Lives in a communal establishment,43
E05013601,Tottenham Central,1,Lives in a household,14724
E05013601,Tottenham Central,2,Lives in a communal establishment,15
E05013602,Tottenham Hale,1,Lives in a household,11245
E05013602,Tottenham Hale,2,Lives in a communal establishment,931
E05013603,West Green,1,Lives in a household,14944
E05013603,West Green,2,Lives in a communal establishment,24
E05013604,White Hart Lane,1,Lives in a household,13872
E05013604,White Hart Lane,2,Lives in a communal establishment,10
E05013605,Woodside (Haringey),1,Lives in a household,15229
E05013605,Woodside (Haringey),2,Lives in a communal establishment,16
E05013606,Bedfont,1,Lives in a household,15096
E05013606,Bedfont,2,Lives in a communal establishment,53
E05013607,Brentford East,1,Lives in a household,8690
E05013607,Brentford East,2,Lives in a communal establishment,2
E05013608,Brentford West,1,Lives in a household,7868
E05013608,Brentford West,2,Lives in a communal establishment,11
