Electoral wards and divisions Code,Electoral wards and divisions,Sex (2 categories) Code,Sex (2 categories),Observation
E05013669,St Pancras & Somers Town,2,Male,5933
E05013670,South Hampstead,1,Female,6425
E05013670,South Hampstead,2,Male,5738
E05013671,West Hampstead,1,Female,5845
E05013671,West Hampstead,2,Male,5317
E05013672,Arnos Grove,1,Female,4173
E05013672,Arnos Grove,2,Male,4045
E05013673,Bowes,1,Female,5462
E05013673,Bowes,2,Male,5329
E05013674,Brimsdown,1,Female,8510
E05013674,Brimsdown,2,Male,7740
E05013675,Bullsmoor,1,Female,6029
E05013675,Bullsmoor,2,Male,5427
E05013676,Bush Hill Park,1,Female,6526
E05013676,Bush Hill Park,2,Male,6182
E05013677,Carterhatch,1,Female,6574
